2024-12-01 12:53:15.024708820 [I:onnxruntime:, inference_session.cc:583 TraceSessionOptions] Session Options {  execution_mode:0 execution_order:DEFAULT enable_profiling:0 optimized_model_filepath:"" enable_mem_pattern:1 enable_mem_reuse:1 enable_cpu_mem_arena:1 profile_file_prefix:onnxruntime_profile_ session_logid: session_log_severity_level:1 session_log_verbosity_level:0 max_num_graph_transformation_steps:10 graph_optimization_level:3 intra_op_param:OrtThreadPoolParams { thread_pool_size: 0 auto_set_affinity: 0 allow_spinning: 1 dynamic_block_base_: 0 stack_size: 0 affinity_str:  set_denormal_as_zero: 0 } inter_op_param:OrtThreadPoolParams { thread_pool_size: 0 auto_set_affinity: 0 allow_spinning: 1 dynamic_block_base_: 0 stack_size: 0 affinity_str:  set_denormal_as_zero: 0 } use_per_session_threads:1 thread_pool_allow_spinning:1 use_deterministic_compute:0 config_options: {  } }
2024-12-01 12:53:15.278650540 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7443'. It is no longer used by any node.
2024-12-01 12:53:15.278656481 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9677'. It is no longer used by any node.
2024-12-01 12:53:15.278661913 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7428'. It is no longer used by any node.
2024-12-01 12:53:15.278667196 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7427'. It is no longer used by any node.
2024-12-01 12:53:15.278672407 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9676'. It is no longer used by any node.
2024-12-01 12:53:15.278678233 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7413'. It is no longer used by any node.
2024-12-01 12:53:15.278684242 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9652'. It is no longer used by any node.
2024-12-01 12:53:15.278689515 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7363'. It is no longer used by any node.
2024-12-01 12:53:15.278694893 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9651'. It is no longer used by any node.
2024-12-01 12:53:15.278700246 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9647'. It is no longer used by any node.
2024-12-01 12:53:15.278705356 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7348'. It is no longer used by any node.
2024-12-01 12:53:15.278713905 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7347'. It is no longer used by any node.
2024-12-01 12:53:15.278720091 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9642'. It is no longer used by any node.
2024-12-01 12:53:15.278725530 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9641'. It is no longer used by any node.
2024-12-01 12:53:15.278731427 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9622'. It is no longer used by any node.
2024-12-01 12:53:15.278736676 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7284'. It is no longer used by any node.
2024-12-01 12:53:15.278742416 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7268'. It is no longer used by any node.
2024-12-01 12:53:15.278747562 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9616'. It is no longer used by any node.
2024-12-01 12:53:15.278753030 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9611'. It is no longer used by any node.
2024-12-01 12:53:15.278759078 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7204'. It is no longer used by any node.
2024-12-01 12:53:15.278764358 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7203'. It is no longer used by any node.
2024-12-01 12:53:15.278770176 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9587'. It is no longer used by any node.
2024-12-01 12:53:15.278775762 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7188'. It is no longer used by any node.
2024-12-01 12:53:15.278780844 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9586'. It is no longer used by any node.
2024-12-01 12:53:15.278786393 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9582'. It is no longer used by any node.
2024-12-01 12:53:15.278791545 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7173'. It is no longer used by any node.
2024-12-01 12:53:15.278796798 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9581'. It is no longer used by any node.
2024-12-01 12:53:15.278807559 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7172'. It is no longer used by any node.
2024-12-01 12:53:15.278815301 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7364'. It is no longer used by any node.
2024-12-01 12:53:15.278821089 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9646'. It is no longer used by any node.
2024-12-01 12:53:15.278830318 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9966'. It is no longer used by any node.
2024-12-01 12:53:15.278838892 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7412'. It is no longer used by any node.
2024-12-01 12:53:15.278848032 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_8071'. It is no longer used by any node.
2024-12-01 12:53:15.278866198 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9871'. It is no longer used by any node.
2024-12-01 12:53:15.278872306 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer '/duration_predictor/flows.3/Constant_144_output_0'. It is no longer used by any node.
2024-12-01 12:53:15.278883672 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_9762'. It is no longer used by any node.
2024-12-01 12:53:15.278891482 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_8410'. It is no longer used by any node.
2024-12-01 12:53:15.278898413 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_8299'. It is no longer used by any node.
2024-12-01 12:53:15.278906432 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_7267'. It is no longer used by any node.
2024-12-01 12:53:15.278920132 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_10016'. It is no longer used by any node.
2024-12-01 12:53:15.278939504 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer '/duration_predictor/flows.4/Constant_144_output_0'. It is no longer used by any node.
2024-12-01 12:53:15.278949796 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer '/duration_predictor/flows.4/Constant_96_output_0'. It is no longer used by any node.
2024-12-01 12:53:15.278956878 [I:onnxruntime:, graph.cc:4201 CleanUnusedInitializersAndNodeArgs] Removing initializer 'onnx::Slice_8173'. It is no longer used by any node.
